3751092446;;;;
#poses;f;isConstant;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
2;772.548;0;;
3;1044.75;0;;
0;1044.75;0;;
3751092446;;;;
#poses;f;isConstant;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
0;772.548;0;;
2;772.548;0;;
2;772.548;0;;
2;772.548;0;;
3;896.763;0;;
0;896.763;0;;
